action,actor,category,condition,confidence,counter,expected_result,phase,purpose,risk,rule_id,source_class,target,trigger
pass_to_wide_cb_who_lays_off_to_cover_defender,box_to_box,PASSING,cover_defender_positioned_to_receive_in_Z9_unmarked,medium,the defending team's covering midfielder anticipates the lay-off and intercepts the third pass,cover_defender receives progressed and facing forward in Z9,attacking_organisation,a third-man combination (progression) moving the ball from Z2 through Z15 to Z9 to bypass the nearest defensive line,requires precise timing across three players; any one mistimed touch breaks the pattern,TM00135,C,Z9,box_to_box_in_possession_in_Z2_under_pressure
pass_to_attacking_fb_who_lays_off_to_advanced_playmaker,stopper,PASSING,advanced_playmaker_positioned_to_receive_in_Z19_unmarked,medium,the defending team's covering midfielder anticipates the lay-off and intercepts the third pass,advanced_playmaker receives progressed and facing forward in Z19,attacking_organisation,a third-man combination (build up) moving the ball from Z5 through Z7 to Z19 to bypass the nearest defensive line,requires precise timing across three players; any one mistimed touch breaks the pattern,TM00136,C,Z19,stopper_in_possession_in_Z5_under_pressure
pass_to_inverted_fb_who_lays_off_to_advanced_forward,poacher,PASSING,advanced_forward_positioned_to_receive_in_Z4_unmarked,medium,the defending team's covering midfielder anticipates the lay-off and intercepts the third pass,advanced_forward receives progressed and facing forward in Z4,attacking_organisation,a third-man combination (final third) moving the ball from Z13 through Z24 to Z4 to bypass the nearest defensive line,requires precise timing across three players; any one mistimed touch breaks the pattern,TM00137,C,Z4,poacher_in_possession_in_Z13_under_pressure
pass_to_advanced_forward_who_lays_off_to_deep_playmaker,shadow_striker,PASSING,deep_playmaker_positioned_to_receive_in_Z6_unmarked,medium,the defending team's covering midfielder anticipates the lay-off and intercepts the third pass,deep_playmaker receives progressed and facing forward in Z6,offensive_transition,a third-man combination (counterattack) moving the ball from Z10 through Z11 to Z6 to bypass the nearest defensive line,requires precise timing across three players; any one mistimed touch breaks the pattern,TM00138,C,Z6,shadow_striker_in_possession_in_Z10_under_pressure
pass_to_false_nine_who_lays_off_to_segundo_volante,trequartista,PASSING,segundo_volante_positioned_to_receive_in_Z14_unmarked,medium,the defending team's covering midfielder anticipates the lay-off and intercepts the third pass,segundo_volante receives progressed and facing forward in Z14,offensive_transition,a third-man combination (counterattack) moving the ball from Z3 through Z23 to Z14 to bypass the nearest defensive line,requires precise timing across three players; any one mistimed touch breaks the pattern,TM00139,C,Z14,trequartista_in_possession_in_Z3_under_pressure
pass_to_inverted_winger_who_lays_off_to_false_fb,half_back,PASSING,false_fb_positioned_to_receive_in_Z12_unmarked,medium,the defending team's covering midfielder anticipates the lay-off and intercepts the third pass,false_fb receives progressed and facing forward in Z12,attacking_organisation,a third-man combination (final third) moving the ball from Z14 through Z10 to Z12 to bypass the nearest defensive line,requires precise timing across three players; any one mistimed touch breaks the pattern,TM00140,C,Z12,half_back_in_possession_in_Z14_under_pressure
pass_to_target_man_who_lays_off_to_full_back,mezzala,PASSING,full_back_positioned_to_receive_in_Z17_unmarked,medium,the defending team's covering midfielder anticipates the lay-off and intercepts the third pass,full_back receives progressed and facing forward in Z17,attacking_organisation,a third-man combination (build up) moving the ball from Z28 through Z23 to Z17 to bypass the nearest defensive line,requires precise timing across three players; any one mistimed touch breaks the pattern,TM00141,C,Z17,mezzala_in_possession_in_Z28_under_pressure
pass_to_full_back_who_lays_off_to_carrilero,aggressive_gk,PASSING,carrilero_positioned_to_receive_in_Z18_unmarked,medium,the defending team's covering midfielder anticipates the lay-off and intercepts the third pass,carrilero receives progressed and facing forward in Z18,attacking_organisation,a third-man combination (progression) moving the ball from Z25 through Z4 to Z18 to bypass the nearest defensive line,requires precise timing across three players; any one mistimed touch breaks the pattern,TM00142,C,Z18,aggressive_gk_in_possession_in_Z25_under_pressure
pass_to_complete_forward_who_lays_off_to_deep_playmaker,box_to_box,PASSING,deep_playmaker_positioned_to_receive_in_Z18_unmarked,medium,the defending team's covering midfielder anticipates the lay-off and intercepts the third pass,deep_playmaker receives progressed and facing forward in Z18,attacking_organisation,a third-man combination (press escape) moving the ball from Z21 through Z15 to Z18 to bypass the nearest defensive line,requires precise timing across three players; any one mistimed touch breaks the pattern,TM00143,C,Z18,box_to_box_in_possession_in_Z21_under_pressure
pass_to_poacher_who_lays_off_to_trequartista,stopper,PASSING,trequartista_positioned_to_receive_in_Z27_unmarked,medium,the defending team's covering midfielder anticipates the lay-off and intercepts the third pass,trequartista receives progressed and facing forward in Z27,attacking_organisation,a third-man combination (press escape) moving the ball from Z22 through Z4 to Z27 to bypass the nearest defensive line,requires precise timing across three players; any one mistimed touch breaks the pattern,TM00144,C,Z27,stopper_in_possession_in_Z22_under_pressure
pass_to_regista_who_lays_off_to_mezzala,carrilero,PASSING,mezzala_positioned_to_receive_in_Z4_unmarked,medium,the defending team's covering midfielder anticipates the lay-off and intercepts the third pass,mezzala receives progressed and facing forward in Z4,attacking_organisation,a third-man combination (press escape) moving the ball from Z15 through Z26 to Z4 to bypass the nearest defensive line,requires precise timing across three players; any one mistimed touch breaks the pattern,TM00145,C,Z4,carrilero_in_possession_in_Z15_under_pressure
pass_to_trequartista_who_lays_off_to_wide_target_man,inside_forward,PASSING,wide_target_man_positioned_to_receive_in_Z17_unmarked,medium,the defending team's covering midfielder anticipates the lay-off and intercepts the third pass,wide_target_man receives progressed and facing forward in Z17,attacking_organisation,a third-man combination (final third) moving the ball from Z4 through Z18 to Z17 to bypass the nearest defensive line,requires precise timing across three players; any one mistimed touch breaks the pattern,TM00146,C,Z17,inside_forward_in_possession_in_Z4_under_pressure
pass_to_box_to_box_who_lays_off_to_target_man,ball_winning_midfielder,PASSING,target_man_positioned_to_receive_in_Z4_unmarked,medium,the defending team's covering midfielder anticipates the lay-off and intercepts the third pass,target_man receives progressed and facing forward in Z4,attacking_organisation,a third-man combination (build up) moving the ball from Z5 through Z6 to Z4 to bypass the nearest defensive line,requires precise timing across three players; any one mistimed touch breaks the pattern,TM00147,C,Z4,ball_winning_midfielder_in_possession_in_Z5_under_pressure
pass_to_box_to_box_who_lays_off_to_poacher,inverted_fb,PASSING,poacher_positioned_to_receive_in_Z2_unmarked,medium,the defending team's covering midfielder anticipates the lay-off and intercepts the third pass,poacher receives progressed and facing forward in Z2,attacking_organisation,a third-man combination (progression) moving the ball from Z28 through Z12 to Z2 to bypass the nearest defensive line,requires precise timing across three players; any one mistimed touch breaks the pattern,TM00148,C,Z2,inverted_fb_in_possession_in_Z28_under_pressure
pass_to_inverted_winger_who_lays_off_to_traditional_winger,ball_playing_gk,PASSING,traditional_winger_positioned_to_receive_in_Z6_unmarked,medium,the defending team's covering midfielder anticipates the lay-off and intercepts the third pass,traditional_winger receives progressed and facing forward in Z6,offensive_transition,a third-man combination (counterattack) moving the ball from Z1 through Z15 to Z6 to bypass the nearest defensive line,requires precise timing across three players; any one mistimed touch breaks the pattern,TM00149,C,Z6,ball_playing_gk_in_possession_in_Z1_under_pressure
pass_to_shadow_striker_who_lays_off_to_ball_playing_cb,stopper,PASSING,ball_playing_cb_positioned_to_receive_in_Z9_unmarked,medium,the defending team's covering midfielder anticipates the lay-off and intercepts the third pass,ball_playing_cb receives progressed and facing forward in Z9,attacking_organisation,a third-man combination (press escape) moving the ball from Z28 through Z18 to Z9 to bypass the nearest defensive line,requires precise timing across three players; any one mistimed touch breaks the pattern,TM00150,C,Z9,stopper_in_possession_in_Z28_under_pressure
switch_of_play_to_isolate_1v1,wide_playmaker,ATTACKING,opponent_shifts_numbers_to_match_the_overload,medium,opponent delays its own defensive shift specifically to avoid over-committing to the overload,wide_playmaker receives 1v1 in space in Z20,attacking_organisation,"use the central overload in Z29 to draw defensive numbers away from Z20, then isolate wide_playmaker there",the switch itself carries technical execution risk (long diagonal ball),OI00001,C,Z20,central_overload_created_in_Z29
switch_of_play_to_isolate_1v1,cover_defender,ATTACKING,opponent_shifts_numbers_to_match_the_overload,medium,opponent delays its own defensive shift specifically to avoid over-committing to the overload,cover_defender receives 1v1 in space in Z12,attacking_organisation,"use the wide overload in Z24 to draw defensive numbers away from Z12, then isolate cover_defender there",the switch itself carries technical execution risk (long diagonal ball),OI00002,C,Z12,wide_overload_created_in_Z24
switch_of_play_to_isolate_1v1,aggressive_gk,ATTACKING,opponent_shifts_numbers_to_match_the_overload,medium,opponent delays its own defensive shift specifically to avoid over-committing to the overload,aggressive_gk receives 1v1 in space in Z11,attacking_organisation,"use the half space overload in Z8 to draw defensive numbers away from Z11, then isolate aggressive_gk there",the switch itself carries technical execution risk (long diagonal ball),OI00003,C,Z11,half_space_overload_created_in_Z8
